"n","method","DE_pattern","sensitivity"
50,"CARseq","2_1_1",0.0355
50,"TOAST","2_1_1",0.006
50,"TOAST","2_1_1",0
50,"CARseq","2_1_1",0.118
50,"TOAST","2_1_1",0.014
50,"TOAST","2_1_1",5e-04
50,"CARseq","2_1_1",0.066
50,"TOAST","2_1_1",0.0115
50,"TOAST","2_1_1",0.0035
50,"CARseq","2_1_1",0.013
50,"TOAST","2_1_1",0.008
50,"TOAST","2_1_1",0
50,"CARseq","2_1_1",0.0905
50,"TOAST","2_1_1",0.009
50,"TOAST","2_1_1",0
50,"CARseq","2_1_1",0.032
50,"TOAST","2_1_1",0.007
50,"TOAST","2_1_1",0.0085
50,"CARseq","2_1_1",0.052
50,"TOAST","2_1_1",0.004
50,"TOAST","2_1_1",0
50,"CARseq","2_1_1",0.0315
50,"TOAST","2_1_1",0.002
50,"TOAST","2_1_1",0.001
50,"CARseq","2_1_1",0.0555
50,"TOAST","2_1_1",0.003
50,"TOAST","2_1_1",0
50,"CARseq","2_1_1",0.0245
50,"TOAST","2_1_1",0
50,"TOAST","2_1_1",0
50,"CARseq","2_2_1",0.0385
50,"TOAST","2_2_1",0.00425
50,"TOAST","2_2_1",0.001
50,"CARseq","2_2_1",0.06075
50,"TOAST","2_2_1",0.01625
50,"TOAST","2_2_1",0.00625
50,"CARseq","2_2_1",0.0235
50,"TOAST","2_2_1",0.008
50,"TOAST","2_2_1",0.001
50,"CARseq","2_2_1",0.02975
50,"TOAST","2_2_1",0.012
50,"TOAST","2_2_1",0.0095
50,"CARseq","2_2_1",0.02375
50,"TOAST","2_2_1",0.00825
50,"TOAST","2_2_1",0
50,"CARseq","2_2_1",0.03925
50,"TOAST","2_2_1",0.0105
50,"TOAST","2_2_1",0.024
50,"CARseq","2_2_1",0.024
50,"TOAST","2_2_1",0.00975
50,"TOAST","2_2_1",0
50,"CARseq","2_2_1",0.098
50,"TOAST","2_2_1",0.02625
50,"TOAST","2_2_1",0.0215
50,"CARseq","2_2_1",0.0155
50,"TOAST","2_2_1",0.00175
50,"TOAST","2_2_1",0
50,"CARseq","2_2_1",0.038
50,"TOAST","2_2_1",0.00325
50,"TOAST","2_2_1",0.00025
50,"CARseq","2_0.5_1",0.031
50,"TOAST","2_0.5_1",0.0035
50,"TOAST","2_0.5_1",0.0055
50,"CARseq","2_0.5_1",0.031
50,"TOAST","2_0.5_1",0.0045
50,"TOAST","2_0.5_1",0.00225
50,"CARseq","2_0.5_1",0.0175
50,"TOAST","2_0.5_1",0.00075
50,"TOAST","2_0.5_1",0
50,"CARseq","2_0.5_1",0.0135
50,"TOAST","2_0.5_1",0.004
50,"TOAST","2_0.5_1",0.00075
50,"CARseq","2_0.5_1",0.04525
50,"TOAST","2_0.5_1",0.0075
50,"TOAST","2_0.5_1",0.00025
50,"CARseq","2_0.5_1",0.02425
50,"TOAST","2_0.5_1",0.00175
50,"TOAST","2_0.5_1",0.00175
50,"CARseq","2_0.5_1",0.00375
50,"TOAST","2_0.5_1",0
50,"TOAST","2_0.5_1",0
50,"CARseq","2_0.5_1",0.03875
50,"TOAST","2_0.5_1",0.00925
50,"TOAST","2_0.5_1",0.00875
50,"CARseq","2_0.5_1",0.0065
50,"TOAST","2_0.5_1",5e-04
50,"TOAST","2_0.5_1",0.00025
50,"CARseq","2_0.5_1",0.01575
50,"TOAST","2_0.5_1",0.0015
50,"TOAST","2_0.5_1",0
50,"CARseq","1_2_1",0.001
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"CARseq","1_2_1",0.001
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"CARseq","1_2_1",5e-04
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"CARseq","1_2_1",0.003
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"CARseq","1_2_1",0.002
50,"TOAST","1_2_1",0.0015
50,"TOAST","1_2_1",5e-04
50,"CARseq","1_2_1",0.0025
50,"TOAST","1_2_1",0.002
50,"TOAST","1_2_1",0.003
50,"CARseq","1_2_1",0.002
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"CARseq","1_2_1",0.003
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"CARseq","1_2_1",0.0025
50,"TOAST","1_2_1",0.0015
50,"TOAST","1_2_1",5e-04
50,"CARseq","1_2_1",0
50,"TOAST","1_2_1",0
50,"TOAST","1_2_1",0
50,"CARseq","3_1_1",0.0715
50,"TOAST","3_1_1",0.0285
50,"TOAST","3_1_1",0.0395
50,"CARseq","3_1_1",0.2725
50,"TOAST","3_1_1",0.0935
50,"TOAST","3_1_1",0.005
50,"CARseq","3_1_1",0.236
50,"TOAST","3_1_1",0.0625
50,"TOAST","3_1_1",0.05
50,"CARseq","3_1_1",0.155
50,"TOAST","3_1_1",0.028
50,"TOAST","3_1_1",0.008
50,"CARseq","3_1_1",0.156
50,"TOAST","3_1_1",0.0535
50,"TOAST","3_1_1",0.1275
50,"CARseq","3_1_1",0.1235
50,"TOAST","3_1_1",0.0255
50,"TOAST","3_1_1",0
50,"CARseq","3_1_1",0.302
50,"TOAST","3_1_1",0.039
50,"TOAST","3_1_1",0.009
50,"CARseq","3_1_1",0.33
50,"TOAST","3_1_1",0.109
50,"TOAST","3_1_1",0.1965
50,"CARseq","3_1_1",0.3075
50,"TOAST","3_1_1",0.057
50,"TOAST","3_1_1",0.0575
50,"CARseq","3_1_1",0.248
50,"TOAST","3_1_1",0.0795
50,"TOAST","3_1_1",0.0315
50,"CARseq","3_3_1",0.0975
50,"TOAST","3_3_1",0.021
50,"TOAST","3_3_1",0.02775
50,"CARseq","3_3_1",0.063
50,"TOAST","3_3_1",0.025
50,"TOAST","3_3_1",0.04275
50,"CARseq","3_3_1",0.1155
50,"TOAST","3_3_1",0.03775
50,"TOAST","3_3_1",0.00075
50,"CARseq","3_3_1",0.1505
50,"TOAST","3_3_1",0.03
50,"TOAST","3_3_1",0.0025
50,"CARseq","3_3_1",0.1095
50,"TOAST","3_3_1",0.02625
50,"TOAST","3_3_1",0.00175
50,"CARseq","3_3_1",0.1175
50,"TOAST","3_3_1",0.02525
50,"TOAST","3_3_1",0.02025
50,"CARseq","3_3_1",0.11325
50,"TOAST","3_3_1",0.037
50,"TOAST","3_3_1",0
50,"CARseq","3_3_1",0.07225
50,"TOAST","3_3_1",0.033
50,"TOAST","3_3_1",0.04175
50,"CARseq","3_3_1",0.1845
50,"TOAST","3_3_1",0.082
50,"TOAST","3_3_1",0.06225
50,"CARseq","3_3_1",0.222
50,"TOAST","3_3_1",0.0455
50,"TOAST","3_3_1",0.02425
50,"CARseq","3_0.333_1",0.1555
50,"TOAST","3_0.333_1",0.07025
50,"TOAST","3_0.333_1",0.0285
50,"CARseq","3_0.333_1",0.135
50,"TOAST","3_0.333_1",0.04375
50,"TOAST","3_0.333_1",0.0445
50,"CARseq","3_0.333_1",0.17075
50,"TOAST","3_0.333_1",0.04625
50,"TOAST","3_0.333_1",0.046
50,"CARseq","3_0.333_1",0.13875
50,"TOAST","3_0.333_1",0.0425
50,"TOAST","3_0.333_1",0.01875
50,"CARseq","3_0.333_1",0.09575
50,"TOAST","3_0.333_1",0.0145
50,"TOAST","3_0.333_1",0.0055
50,"CARseq","3_0.333_1",0.1505
50,"TOAST","3_0.333_1",0.05275
50,"TOAST","3_0.333_1",0.084
50,"CARseq","3_0.333_1",0.1205
50,"TOAST","3_0.333_1",0.02625
50,"TOAST","3_0.333_1",0.01375
50,"CARseq","3_0.333_1",0.13175
50,"TOAST","3_0.333_1",0.03725
50,"TOAST","3_0.333_1",0.003
50,"CARseq","3_0.333_1",0.115
50,"TOAST","3_0.333_1",0.032
50,"TOAST","3_0.333_1",0.0705
50,"CARseq","3_0.333_1",0.14725
50,"TOAST","3_0.333_1",0.042
50,"TOAST","3_0.333_1",0.1195
50,"CARseq","1_3_1",0.043
50,"TOAST","1_3_1",0.0115
50,"TOAST","1_3_1",5e-04
50,"CARseq","1_3_1",0.0245
50,"TOAST","1_3_1",5e-04
50,"TOAST","1_3_1",0
50,"CARseq","1_3_1",0.0305
50,"TOAST","1_3_1",5e-04
50,"TOAST","1_3_1",0
50,"CARseq","1_3_1",0.0455
50,"TOAST","1_3_1",5e-04
50,"TOAST","1_3_1",0
50,"CARseq","1_3_1",0.0315
50,"TOAST","1_3_1",0
50,"TOAST","1_3_1",0
50,"CARseq","1_3_1",0.005
50,"TOAST","1_3_1",0
50,"TOAST","1_3_1",0
50,"CARseq","1_3_1",0.0065
50,"TOAST","1_3_1",0.002
50,"TOAST","1_3_1",0
50,"CARseq","1_3_1",0.035
50,"TOAST","1_3_1",0.0055
50,"TOAST","1_3_1",0.0035
50,"CARseq","1_3_1",0.013
50,"TOAST","1_3_1",0.003
50,"TOAST","1_3_1",0
50,"CARseq","1_3_1",0.008
50,"TOAST","1_3_1",0
50,"TOAST","1_3_1",0
50,"CARseq","4_1_1",0.391
50,"TOAST","4_1_1",0.1505
50,"TOAST","4_1_1",0.1085
50,"CARseq","4_1_1",0.2365
50,"TOAST","4_1_1",0.0795
50,"TOAST","4_1_1",0.0475
50,"CARseq","4_1_1",0.484
50,"TOAST","4_1_1",0.215
50,"TOAST","4_1_1",0.0805
50,"CARseq","4_1_1",0.3255
50,"TOAST","4_1_1",0.0915
50,"TOAST","4_1_1",5e-04
50,"CARseq","4_1_1",0.4285
50,"TOAST","4_1_1",0.145
50,"TOAST","4_1_1",0.16
50,"CARseq","4_1_1",0.426
50,"TOAST","4_1_1",0.1705
50,"TOAST","4_1_1",0.003
50,"CARseq","4_1_1",0.571
50,"TOAST","4_1_1",0.173
50,"TOAST","4_1_1",0.165
50,"CARseq","4_1_1",0.529
50,"TOAST","4_1_1",0.2135
50,"TOAST","4_1_1",0.2435
50,"CARseq","4_1_1",0.4565
50,"TOAST","4_1_1",0.1795
50,"TOAST","4_1_1",0.097
50,"CARseq","4_1_1",0.246
50,"TOAST","4_1_1",0.0905
50,"TOAST","4_1_1",0.1685
50,"CARseq","4_4_1",0.2605
50,"TOAST","4_4_1",0.1095
50,"TOAST","4_4_1",0.05875
50,"CARseq","4_4_1",0.27025
50,"TOAST","4_4_1",0.117
50,"TOAST","4_4_1",0.04575
50,"CARseq","4_4_1",0.25325
50,"TOAST","4_4_1",0.0935
50,"TOAST","4_4_1",0.0415
50,"CARseq","4_4_1",0.1675
50,"TOAST","4_4_1",0.05475
50,"TOAST","4_4_1",0.0795
50,"CARseq","4_4_1",0.2185
50,"TOAST","4_4_1",0.08225
50,"TOAST","4_4_1",0.02825
50,"CARseq","4_4_1",0.214
50,"TOAST","4_4_1",0.0775
50,"TOAST","4_4_1",0.0385
50,"CARseq","4_4_1",0.156
50,"TOAST","4_4_1",0.05
50,"TOAST","4_4_1",0.015
50,"CARseq","4_4_1",0.17475
50,"TOAST","4_4_1",0.0635
50,"TOAST","4_4_1",0.05875
50,"CARseq","4_4_1",0.17975
50,"TOAST","4_4_1",0.084
50,"TOAST","4_4_1",0.04775
50,"CARseq","4_4_1",0.2835
50,"TOAST","4_4_1",0.09175
50,"TOAST","4_4_1",0.11875
50,"CARseq","4_0.25_1",0.263
50,"TOAST","4_0.25_1",0.115
50,"TOAST","4_0.25_1",0.147
50,"CARseq","4_0.25_1",0.1565
50,"TOAST","4_0.25_1",0.08175
50,"TOAST","4_0.25_1",0.0445
50,"CARseq","4_0.25_1",0.2875
50,"TOAST","4_0.25_1",0.07325
50,"TOAST","4_0.25_1",0.1235
50,"CARseq","4_0.25_1",0.24775
50,"TOAST","4_0.25_1",0.07775
50,"TOAST","4_0.25_1",0.02825
50,"CARseq","4_0.25_1",0.22375
50,"TOAST","4_0.25_1",0.08625
50,"TOAST","4_0.25_1",0.12225
50,"CARseq","4_0.25_1",0.149
50,"TOAST","4_0.25_1",0.04475
50,"TOAST","4_0.25_1",0.06425
50,"CARseq","4_0.25_1",0.2535
50,"TOAST","4_0.25_1",0.09175
50,"TOAST","4_0.25_1",0.066
50,"CARseq","4_0.25_1",0.24175
50,"TOAST","4_0.25_1",0.08525
50,"TOAST","4_0.25_1",0.01325
50,"CARseq","4_0.25_1",0.23325
50,"TOAST","4_0.25_1",0.06075
50,"TOAST","4_0.25_1",0.001
50,"CARseq","4_0.25_1",0.228
50,"TOAST","4_0.25_1",0.092
50,"TOAST","4_0.25_1",0.06625
50,"CARseq","1_4_1",0.0735
50,"TOAST","1_4_1",0.03
50,"TOAST","1_4_1",0.022
50,"CARseq","1_4_1",0.072
50,"TOAST","1_4_1",0.0505
50,"TOAST","1_4_1",0.002
50,"CARseq","1_4_1",0.051
50,"TOAST","1_4_1",0.0065
50,"TOAST","1_4_1",0
50,"CARseq","1_4_1",0.0565
50,"TOAST","1_4_1",0.0235
50,"TOAST","1_4_1",0.0015
50,"CARseq","1_4_1",0.0535
50,"TOAST","1_4_1",0.0275
50,"TOAST","1_4_1",0.0025
50,"CARseq","1_4_1",0.0655
50,"TOAST","1_4_1",0.0195
50,"TOAST","1_4_1",0
50,"CARseq","1_4_1",0.059
50,"TOAST","1_4_1",0.0135
50,"TOAST","1_4_1",0.01
50,"CARseq","1_4_1",0.1165
50,"TOAST","1_4_1",0.028
50,"TOAST","1_4_1",0.008
50,"CARseq","1_4_1",0.082
50,"TOAST","1_4_1",0.048
50,"TOAST","1_4_1",0.0455
50,"CARseq","1_4_1",0.084
50,"TOAST","1_4_1",0.039
50,"TOAST","1_4_1",0.0165
100,"CARseq","2_1_1",0.1875
100,"TOAST","2_1_1",0.0835
100,"TOAST","2_1_1",0.0415
100,"CARseq","2_1_1",0.1925
100,"TOAST","2_1_1",0.0765
100,"TOAST","2_1_1",0.0445
100,"CARseq","2_1_1",0.1915
100,"TOAST","2_1_1",0.079
100,"TOAST","2_1_1",0.093
100,"CARseq","2_1_1",0.2285
100,"TOAST","2_1_1",0.1075
100,"TOAST","2_1_1",0.089
100,"CARseq","2_1_1",0.25
100,"TOAST","2_1_1",0.106
100,"TOAST","2_1_1",0.1045
100,"CARseq","2_1_1",0.1675
100,"TOAST","2_1_1",0.0815
100,"TOAST","2_1_1",0.1
100,"CARseq","2_1_1",0.18
100,"TOAST","2_1_1",0.089
100,"TOAST","2_1_1",0.0695
100,"CARseq","2_1_1",0.1525
100,"TOAST","2_1_1",0.0325
100,"TOAST","2_1_1",0.0915
100,"CARseq","2_1_1",0.236
100,"TOAST","2_1_1",0.104
100,"TOAST","2_1_1",0.183
100,"CARseq","2_1_1",0.215
100,"TOAST","2_1_1",0.0705
100,"TOAST","2_1_1",0.0815
100,"CARseq","2_2_1",0.14325
100,"TOAST","2_2_1",0.0585
100,"TOAST","2_2_1",0.068
100,"CARseq","2_2_1",0.15875
100,"TOAST","2_2_1",0.073
100,"TOAST","2_2_1",0.10525
100,"CARseq","2_2_1",0.0755
100,"TOAST","2_2_1",0.03625
100,"TOAST","2_2_1",0.0155
100,"CARseq","2_2_1",0.11275
100,"TOAST","2_2_1",0.04775
100,"TOAST","2_2_1",0.04
100,"CARseq","2_2_1",0.0855
100,"TOAST","2_2_1",0.0335
100,"TOAST","2_2_1",0.09575
100,"CARseq","2_2_1",0.0555
100,"TOAST","2_2_1",0.0215
100,"TOAST","2_2_1",0.0065
100,"CARseq","2_2_1",0.163
100,"TOAST","2_2_1",0.06975
100,"TOAST","2_2_1",0.08275
100,"CARseq","2_2_1",0.09775
100,"TOAST","2_2_1",0.046
100,"TOAST","2_2_1",0.02325
100,"CARseq","2_2_1",0.07975
100,"TOAST","2_2_1",0.03325
100,"TOAST","2_2_1",0.012
100,"CARseq","2_2_1",0.117
100,"TOAST","2_2_1",0.0395
100,"TOAST","2_2_1",0.027
100,"CARseq","2_0.5_1",0.12875
100,"TOAST","2_0.5_1",0.0635
100,"TOAST","2_0.5_1",0.09225
100,"CARseq","2_0.5_1",0.086
100,"TOAST","2_0.5_1",0.04675
100,"TOAST","2_0.5_1",0.013
100,"CARseq","2_0.5_1",0.07725
100,"TOAST","2_0.5_1",0.0365
100,"TOAST","2_0.5_1",0.04575
100,"CARseq","2_0.5_1",0.11325
100,"TOAST","2_0.5_1",0.04125
100,"TOAST","2_0.5_1",0.05975
100,"CARseq","2_0.5_1",0.1045
100,"TOAST","2_0.5_1",0.04425
100,"TOAST","2_0.5_1",0.05275
100,"CARseq","2_0.5_1",0.10975
100,"TOAST","2_0.5_1",0.035
100,"TOAST","2_0.5_1",0.03325
100,"CARseq","2_0.5_1",0.096
100,"TOAST","2_0.5_1",0.0405
100,"TOAST","2_0.5_1",0.01375
100,"CARseq","2_0.5_1",0.15725
100,"TOAST","2_0.5_1",0.0505
100,"TOAST","2_0.5_1",0.091
100,"CARseq","2_0.5_1",0.08325
100,"TOAST","2_0.5_1",0.04125
100,"TOAST","2_0.5_1",0.03725
100,"CARseq","2_0.5_1",0.12025
100,"TOAST","2_0.5_1",0.049
100,"TOAST","2_0.5_1",0.043
100,"CARseq","1_2_1",0.007
100,"TOAST","1_2_1",0.0035
100,"TOAST","1_2_1",0.002
100,"CARseq","1_2_1",0.003
100,"TOAST","1_2_1",0.001
100,"TOAST","1_2_1",5e-04
100,"CARseq","1_2_1",0.0165
100,"TOAST","1_2_1",0.0125
100,"TOAST","1_2_1",0.007
100,"CARseq","1_2_1",0.0025
100,"TOAST","1_2_1",0.0015
100,"TOAST","1_2_1",0
100,"CARseq","1_2_1",0.009
100,"TOAST","1_2_1",0.0035
100,"TOAST","1_2_1",0
100,"CARseq","1_2_1",0.012
100,"TOAST","1_2_1",0
100,"TOAST","1_2_1",0
100,"CARseq","1_2_1",0.012
100,"TOAST","1_2_1",0.0025
100,"TOAST","1_2_1",0
100,"CARseq","1_2_1",0.0095
100,"TOAST","1_2_1",0.01
100,"TOAST","1_2_1",0.002
100,"CARseq","1_2_1",0.0165
100,"TOAST","1_2_1",0.013
100,"TOAST","1_2_1",0.0055
100,"CARseq","1_2_1",0.0135
100,"TOAST","1_2_1",0.0085
100,"TOAST","1_2_1",0.0035
100,"CARseq","3_1_1",0.514
100,"TOAST","3_1_1",0.251
100,"TOAST","3_1_1",0.3695
100,"CARseq","3_1_1",0.624
100,"TOAST","3_1_1",0.2935
100,"TOAST","3_1_1",0.355
100,"CARseq","3_1_1",0.5315
100,"TOAST","3_1_1",0.259
100,"TOAST","3_1_1",0.3375
100,"CARseq","3_1_1",0.51
100,"TOAST","3_1_1",0.252
100,"TOAST","3_1_1",0.259
100,"CARseq","3_1_1",0.504
100,"TOAST","3_1_1",0.2625
100,"TOAST","3_1_1",0.322
100,"CARseq","3_1_1",0.5675
100,"TOAST","3_1_1",0.3205
100,"TOAST","3_1_1",0.296
100,"CARseq","3_1_1",0.507
100,"TOAST","3_1_1",0.2385
100,"TOAST","3_1_1",0.18
100,"CARseq","3_1_1",0.5275
100,"TOAST","3_1_1",0.2595
100,"TOAST","3_1_1",0.2755
100,"CARseq","3_1_1",0.5695
100,"TOAST","3_1_1",0.276
100,"TOAST","3_1_1",0.311
100,"CARseq","3_1_1",0.6045
100,"TOAST","3_1_1",0.3305
100,"TOAST","3_1_1",0.4015
100,"CARseq","3_3_1",0.3215
100,"TOAST","3_3_1",0.16975
100,"TOAST","3_3_1",0.22725
100,"CARseq","3_3_1",0.26025
100,"TOAST","3_3_1",0.1405
100,"TOAST","3_3_1",0.1565
100,"CARseq","3_3_1",0.2585
100,"TOAST","3_3_1",0.12625
100,"TOAST","3_3_1",0.174
100,"CARseq","3_3_1",0.286
100,"TOAST","3_3_1",0.135
100,"TOAST","3_3_1",0.09925
100,"CARseq","3_3_1",0.27375
100,"TOAST","3_3_1",0.15075
100,"TOAST","3_3_1",0.14425
100,"CARseq","3_3_1",0.31525
100,"TOAST","3_3_1",0.15525
100,"TOAST","3_3_1",0.147
100,"CARseq","3_3_1",0.30475
100,"TOAST","3_3_1",0.14275
100,"TOAST","3_3_1",0.10775
100,"CARseq","3_3_1",0.32775
100,"TOAST","3_3_1",0.187
100,"TOAST","3_3_1",0.20725
100,"CARseq","3_3_1",0.28375
100,"TOAST","3_3_1",0.17525
100,"TOAST","3_3_1",0.164
100,"CARseq","3_3_1",0.30275
100,"TOAST","3_3_1",0.14625
100,"TOAST","3_3_1",0.13775
100,"CARseq","3_0.333_1",0.2035
100,"TOAST","3_0.333_1",0.1095
100,"TOAST","3_0.333_1",0.06075
100,"CARseq","3_0.333_1",0.25775
100,"TOAST","3_0.333_1",0.15525
100,"TOAST","3_0.333_1",0.10925
100,"CARseq","3_0.333_1",0.284
100,"TOAST","3_0.333_1",0.134
100,"TOAST","3_0.333_1",0.19275
100,"CARseq","3_0.333_1",0.252
100,"TOAST","3_0.333_1",0.10625
