n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,2_1_1,1,301,CARseq_with_RIN,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.037,0.1085,0.0385,0.0365,0.0365,0.038,0.037625,0.03625,0.040875,0.03775,0.0375,0.040125
50,2_1_1,1,301,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,0.057,0.0205,0.0185,0.026,0.02,0.020125,0.016125,0.01825,0.019375,0.027125,0.022625
50,2_1_1,1,301,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0555,0.1285,0.0585,0.0475,0.055,0.0415,0.049375,0.046625,0.049,0.04,0.039125,0.04575
50,2_1_1,1,301,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0345,0.079,0.0255,0.0215,0.034,0.0215,0.032375,0.026125,0.021625,0.02125,0.030875,0.027
50,2_1_1,1,301,csSAM,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,302,CARseq_with_RIN,0.0155,0.114285714285714,0,31,0,0,0,0,0,34,0,1,0,0,0.0555,0.1875,0.0475,0.0335,0.038,0.041,0.06075,0.0455,0.04725,0.031,0.049375,0.050375
50,2_1_1,1,302,CARseq_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.028,0.099,0.0385,0.0175,0.023,0.0165,0.0295,0.0225,0.032375,0.015875,0.0265,0.024375
50,2_1_1,1,302,TOAST_TPM_with_RIN,0.005,0.0909090909090909,0,10,0,0,0,0,0,11,0,0,0,0,0.04,0.1695,0.042,0.036,0.0465,0.0385,0.043375,0.037875,0.040625,0.03975,0.050125,0.04475
50,2_1_1,1,302,TOAST_TPM_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.015,0.106,0.028,0.018,0.0265,0.019,0.024625,0.02125,0.035625,0.023,0.031625,0.02425
50,2_1_1,1,302,csSAM,0.008,0.111111111111111,0,16,0,0,0,0,0,17,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,303,CARseq_with_RIN,0.009,0.0526315789473685,0,18,0,0,0,0,0,19,0,0,0,0,0.0545,0.173,0.051,0.0405,0.0445,0.0495,0.0531316414551819,0.0493811726465808,0.0421302662832854,0.038254781847731,0.0461307663457932,0.0472559069883735
50,2_1_1,1,303,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.0985,0.0265,0.0325,0.0385,0.0255,0.028125,0.0235,0.025,0.028125,0.049,0.026875
50,2_1_1,1,303,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0.119,0.038,0.05,0.041,0.0445,0.038625,0.0425,0.03975,0.051375,0.045375,0.045375
50,2_1_1,1,303,TOAST_TPM_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.027,0.1155,0.0305,0.0285,0.045,0.0255,0.020375,0.02525,0.024875,0.02775,0.04025,0.026
50,2_1_1,1,303,csSAM,0.001,0.5,0,2,0,2,0,0,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,304,CARseq_with_RIN,0.004,0.2,0,8,0,0,1,0,0,8,0,0,2,0,0.045,0.1475,0.0505,0.0305,0.04,0.024,0.0486310788848606,0.0451306413301663,0.0491311413926741,0.0353794224278035,0.0407550943867983,0.0270033754219277
50,2_1_1,1,304,CARseq_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0295,0.119,0.0315,0.0475,0.032,0.027,0.032375,0.04825,0.0285,0.046375,0.037125,0.023625
50,2_1_1,1,304,TOAST_TPM_with_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.045,0.1115,0.059,0.0485,0.05,0.0565,0.047875,0.046875,0.04575,0.042625,0.04825,0.05175
50,2_1_1,1,304,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.099,0.0355,0.0495,0.0445,0.06,0.031125,0.03225,0.0305,0.05075,0.050375,0.0635
50,2_1_1,1,304,csSAM,0.002,0.692307692307692,0,4,0,0,0,2,0,6,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,305,CARseq_with_RIN,0.013,0.103448275862069,1,26,0,0,0,0,1,28,0,0,0,0,0.0395,0.1795,0.039,0.0415,0.0445,0.0435,0.0462615653913478,0.0461365341335334,0.0421355338834709,0.0458864716179045,0.0467616904226057,0.0425106276569142
50,2_1_1,1,305,CARseq_without_RIN,0.002,0,0,4,0,0,0,0,0,4,0,0,0,0,0.0225,0.1085,0.0255,0.061,0.019,0.033,0.0195,0.02475,0.02975,0.060125,0.02625,0.02575
50,2_1_1,1,305,TOAST_TPM_with_RIN,0.001,0.5,0,2,0,0,0,1,1,2,0,0,0,1,0.052,0.1055,0.0325,0.0545,0.0395,0.033,0.0425,0.03025,0.038625,0.041875,0.04025,0.038125
50,2_1_1,1,305,TOAST_TPM_without_RIN,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0.0225,0.0975,0.031,0.08,0.024,0.0275,0.01875,0.024,0.034125,0.0685,0.026625,0.0295
50,2_1_1,1,305,csSAM,0.0015,0.25,0,3,0,0,0,0,0,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,306,CARseq_with_RIN,0.011,0.12,0,22,0,0,0,0,0,25,0,0,0,0,0.051,0.162,0.044,0.0265,0.039,0.042,0.0485,0.042,0.0435,0.028625,0.0395,0.03375
50,2_1_1,1,306,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0235,0.112,0.0235,0.0765,0.018,0.0205,0.0270033754219277,0.0286285785723215,0.0238779847480935,0.0743842980372547,0.0203775471933992,0.0180022502812852
50,2_1_1,1,306,TOAST_TPM_with_RIN,0.0025,0.166666666666667,0,5,0,0,0,0,0,6,0,0,0,0,0.056,0.1445,0.0665,0.0765,0.047,0.046,0.051,0.042125,0.054875,0.061625,0.05025,0.04375
50,2_1_1,1,306,TOAST_TPM_without_RIN,0,1,0,0,0,44,0,0,0,0,0,196,0,0,0.03,0.102,0.03,0.1465,0.039,0.027,0.03,0.02275,0.029,0.145875,0.0275,0.027125
50,2_1_1,1,306,csSAM,0,1,0,0,0,5,0,0,0,0,0,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,307,CARseq_with_RIN,0,1,3,0,0,1,0,0,3,0,0,2,0,0,0.0535,0.153,0.0495,0.036,0.032,0.0435,0.0513814226778347,0.0397549693711714,0.054506813351669,0.0388798599824978,0.0407550943867983,0.0485060632579072
50,2_1_1,1,307,CARseq_without_RIN,0,1,2,0,0,1,0,0,2,0,0,1,0,0,0.0445,0.0955,0.0375,0.024,0.0325,0.023,0.045125,0.021875,0.03475,0.03125,0.039,0.028625
50,2_1_1,1,307,TOAST_TPM_with_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.1355,0.066,0.049,0.039,0.0395,0.04325,0.04925,0.05625,0.0485,0.047,0.043875
50,2_1_1,1,307,TOAST_TPM_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0525,0.0945,0.0415,0.0405,0.027,0.026,0.03825,0.026125,0.034625,0.03475,0.034375,0.0245
50,2_1_1,1,307,csSAM,0.0035,0,0,7,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,308,CARseq_with_RIN,0.01,0,0,20,0,0,0,0,0,20,0,0,0,0,0.04,0.1375,0.0455,0.0315,0.0335,0.041,0.0375046880860107,0.0332541567695962,0.047755969496187,0.0310038754844356,0.0413801725215652,0.038254781847731
50,2_1_1,1,308,CARseq_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.048,0.1465,0.0525,0.0695,0.054,0.027,0.048125,0.059875,0.049125,0.074125,0.060375,0.02775
50,2_1_1,1,308,TOAST_TPM_with_RIN,0.006,0.0769230769230769,0,12,0,0,0,0,0,13,0,0,0,0,0.052,0.1425,0.054,0.049,0.047,0.0505,0.04925,0.046125,0.048125,0.040625,0.043125,0.0455
50,2_1_1,1,308,TOAST_TPM_without_RIN,0.051,0.389221556886228,0,102,0,0,0,0,2,164,1,0,0,0,0.104,0.242,0.083,0.1205,0.0465,0.03,0.085375,0.14725,0.06675,0.112625,0.0495,0.031
50,2_1_1,1,308,csSAM,0.041,0.299145299145299,1,82,0,0,0,0,6,110,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,309,CARseq_with_RIN,0.02,0.0697674418604651,0,40,0,0,0,0,0,43,0,0,0,0,0.056,0.1765,0.05,0.047,0.04,0.0465,0.05075,0.05,0.048125,0.043,0.053125,0.043875
50,2_1_1,1,309,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0535,0.1065,0.104,0.028,0.0285,0.0365,0.05675,0.02575,0.12675,0.029375,0.035375,0.0315
50,2_1_1,1,309,TOAST_TPM_with_RIN,0.0055,0.153846153846154,0,11,0,0,0,0,0,13,0,0,0,0,0.0565,0.1705,0.046,0.0535,0.0445,0.047,0.041125,0.047125,0.047875,0.047625,0.052625,0.046875
50,2_1_1,1,309,TOAST_TPM_without_RIN,0.001,0.6,0,2,1,0,0,0,0,2,3,0,0,0,0.05,0.1205,0.1665,0.0395,0.0285,0.032,0.055875,0.02775,0.1745,0.038125,0.031,0.03
50,2_1_1,1,309,csSAM,0.006,0.785714285714286,0,12,6,0,0,0,0,12,41,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2_1_1,1,310,CARseq_with_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0395,0.1595,0.063,0.035,0.0385,0.057,0.0473809226153269,0.0428803600450056,0.0495061882735342,0.0351293911738967,0.0373796724590574,0.0381297662207776
50,2_1_1,1,310,CARseq_without_RIN,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.101,0.0365,0.0245,0.0355,0.041,0.0253781722715339,0.0262532816602075,0.0308788598574822,0.0252531566445806,0.0333791723965496,0.024378047255907
50,2_1_1,1,310,TOAST_TPM_with_RIN,5e-04,0.5,0,1,0,0,0,1,0,1,0,0,0,1,0.048,0.1345,0.044,0.0645,0.056,0.0615,0.03725,0.045125,0.04475,0.05,0.04275,0.041875
50,2_1_1,1,310,TOAST_TPM_without_RIN,0.001,0.333333333333333,0,2,0,0,1,0,0,2,0,0,1,0,0.0205,0.1365,0.032,0.0345,0.0765,0.0335,0.0235,0.03275,0.028375,0.03125,0.0675,0.0285
50,2_1_1,1,310,csSAM,0.0015,0.25,0,3,0,0,0,0,0,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,301,CARseq_with_RIN,0.0035,0.125,0,7,0,0,0,0,0,7,0,1,0,0,0.0455,0.151,0.058,0.043,0.0465,0.0405,0.039,0.030625,0.04975,0.0385,0.046125,0.037875
50,3_1_1,1,301,CARseq_without_RIN,0.001,0,0,2,0,0,0,0,0,2,0,0,0,0,0.0375,0.0835,0.029,0.027,0.062,0.0305,0.031875,0.015625,0.026875,0.02275,0.056,0.027625
50,3_1_1,1,301,TOAST_TPM_with_RIN,0.003,0,0,6,0,0,0,0,0,6,0,0,0,0,0.055,0.1465,0.038,0.0435,0.0535,0.0435,0.04375,0.050375,0.045125,0.04725,0.043,0.04775
50,3_1_1,1,301,TOAST_TPM_without_RIN,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0365,0.1055,0.0275,0.026,0.0475,0.0385,0.039625,0.0275,0.0255,0.029,0.042,0.035125
50,3_1_1,1,301,csSAM,0.01,0.2,0,20,0,0,1,0,0,23,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,302,CARseq_with_RIN,0.0635,0.0863309352517986,2,127,0,0,0,0,2,137,0,0,0,0,0.055,0.27,0.047,0.037,0.037,0.0465,0.051875,0.04325,0.04825,0.032375,0.043,0.046875
50,3_1_1,1,302,CARseq_without_RIN,0.0095,0,0,19,0,0,0,0,0,19,0,0,0,0,0.041,0.167,0.03,0.03,0.022,0.065,0.03225,0.018375,0.031625,0.02625,0.021625,0.072375
50,3_1_1,1,302,TOAST_TPM_with_RIN,0.0395,0.193877551020408,0,79,6,0,0,0,0,85,13,0,0,0,0.042,0.238,0.0705,0.055,0.0535,0.0415,0.043,0.039,0.069625,0.04525,0.047375,0.04325
50,3_1_1,1,302,TOAST_TPM_without_RIN,0.011,0,0,22,0,0,0,0,0,22,0,0,0,0,0.03,0.168,0.0325,0.0385,0.0205,0.0815,0.025375,0.021375,0.0305,0.028625,0.02425,0.081625
50,3_1_1,1,302,csSAM,0.0575,0.0573770491803278,0,115,0,0,0,0,0,122,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,303,CARseq_with_RIN,0.0605,0.0241935483870968,0,121,0,0,0,0,0,124,0,0,0,0,0.0505,0.264,0.049,0.0345,0.045,0.038,0.0553819227403425,0.0373796724590574,0.0468808601075134,0.0371296412051506,0.0482560320040005,0.0427553444180523
50,3_1_1,1,303,CARseq_without_RIN,0.012,0,0,24,0,0,0,0,0,24,0,0,0,0,0.0355,0.188,0.027,0.0245,0.0445,0.0265,0.029125,0.022,0.024625,0.029125,0.044375,0.023875
50,3_1_1,1,303,TOAST_TPM_with_RIN,0.019,0.136363636363636,0,38,0,1,0,0,0,43,0,1,0,0,0.059,0.22,0.0375,0.04,0.0445,0.0515,0.05025,0.0445,0.045125,0.042375,0.037375,0.047375
50,3_1_1,1,303,TOAST_TPM_without_RIN,0.012,0.04,0,24,0,1,0,0,0,24,0,1,0,0,0.029,0.213,0.026,0.0405,0.042,0.037,0.03325,0.028375,0.023625,0.04375,0.037625,0.026
50,3_1_1,1,303,csSAM,0.0355,0.0405405405405406,0,71,0,0,0,0,0,74,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,304,CARseq_with_RIN,0.0395,0.0246913580246914,0,79,0,0,0,0,0,81,0,0,0,0,0.053,0.2295,0.053,0.0415,0.05,0.036,0.0497624406101525,0.0332583145786447,0.0481370342585646,0.0421355338834709,0.0412603150787697,0.0352588147036759
50,3_1_1,1,304,CARseq_without_RIN,0.011,0.843971631205674,0,22,0,0,0,19,0,22,0,0,0,119,0.0265,0.2135,0.024,0.0225,0.0545,0.1575,0.025875,0.069375,0.024875,0.025375,0.0555,0.190625
50,3_1_1,1,304,TOAST_TPM_with_RIN,0.0125,0.0384615384615384,0,25,0,0,0,0,0,26,0,0,0,0,0.0715,0.201,0.045,0.048,0.0675,0.052,0.0675,0.06175,0.044625,0.047125,0.052375,0.04075
50,3_1_1,1,304,TOAST_TPM_without_RIN,0.046,0.948285553681844,0,92,0,0,0,313,0,124,0,0,0,1655,0.0285,0.288,0.032,0.032,0.077,0.293,0.027375,0.155125,0.024625,0.024875,0.078875,0.30125
50,3_1_1,1,304,csSAM,0.0435,0.670454545454545,0,87,0,0,0,44,0,101,0,0,0,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,305,CARseq_with_RIN,0.019,0.116279069767442,0,38,0,0,0,0,0,43,0,0,0,0,0.052,0.1865,0.069,0.036,0.038,0.037,0.0433804225528191,0.0330041255156895,0.048756094511814,0.039629953744218,0.0397549693711714,0.0365045630703838
50,3_1_1,1,305,CARseq_without_RIN,5e-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0.031,0.124,0.0645,0.0205,0.026,0.026,0.0271283910488811,0.0230028753594199,0.0333791723965496,0.0238779847480935,0.0313789223652957,0.0248781097637205
50,3_1_1,1,305,TOAST_TPM_with_RIN,0.0035,0,0,7,0,0,0,0,0,7,0,0,0,0,0.039,0.1725,0.045,0.0475,0.0355,0.053,0.045,0.0435,0.046625,0.047125,0.043625,0.05775
50,3_1_1,1,305,TOAST_TPM_without_RIN,0.002,0.2,0,4,0,0,0,0,0,5,0,0,0,0,0.032,0.1655,0.064,0.03,0.0305,0.0335,0.037875,0.04925,0.040875,0.028,0.033375,0.02625
50,3_1_1,1,305,csSAM,0.029,0.0333333333333333,0,58,0,0,0,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,306,CARseq_with_RIN,0.028,0.0508474576271186,0,56,0,0,0,0,0,59,0,0,0,0,0.0605,0.222,0.0455,0.0355,0.046,0.033,0.0477738869434717,0.0356428214107053,0.044272136068034,0.0380190095047524,0.0403951975987994,0.034392196098049
50,3_1_1,1,306,CARseq_without_RIN,0.0015,0,0,3,0,0,0,0,0,3,0,0,0,0,0.0605,0.1415,0.025,0.0275,0.037,0.074,0.0348837209302326,0.018754688672168,0.0236309077269317,0.0300075018754689,0.032258064516129,0.0923980995248812
50,3_1_1,1,306,TOAST_TPM_with_RIN,0.0225,0.166666666666667,0,45,0,4,0,0,0,46,0,8,0,0,0.064,0.26,0.0425,0.0865,0.0535,0.0525,0.043625,0.0425,0.038,0.074625,0.047,0.046625
50,3_1_1,1,306,TOAST_TPM_without_RIN,0.0055,0.0833333333333334,0,11,0,0,0,0,0,11,0,0,0,1,0.091,0.205,0.028,0.0565,0.0715,0.164,0.042875,0.021625,0.02425,0.05725,0.075,0.166125
50,3_1_1,1,306,csSAM,0.022,0,0,44,0,0,0,0,0,44,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,307,CARseq_with_RIN,0.1155,0.076,0,231,0,0,0,0,1,249,0,0,0,0,0.0405,0.339,0.0445,0.0265,0.054,0.0445,0.0397549693711714,0.0425053131641455,0.0442555319414927,0.0305038129766221,0.051131391423928,0.0416302037754719
50,3_1_1,1,307,CARseq_without_RIN,0.0365,0.0394736842105263,0,73,0,0,0,0,1,75,0,0,0,0,0.089,0.2445,0.027,0.0235,0.0735,0.025,0.0955,0.025,0.0285,0.024375,0.076125,0.025375
50,3_1_1,1,307,TOAST_TPM_with_RIN,0.0155,0.0882352941176471,0,31,0,0,0,0,0,34,0,0,0,0,0.0555,0.2445,0.0515,0.0495,0.055,0.0525,0.048,0.05075,0.041875,0.045625,0.055125,0.057875
50,3_1_1,1,307,TOAST_TPM_without_RIN,0.02,0.607843137254902,0,40,0,0,12,0,0,42,0,0,60,0,0.102,0.2425,0.0325,0.037,0.113,0.037,0.098625,0.03525,0.03125,0.030125,0.127875,0.032
50,3_1_1,1,307,csSAM,0.037,0.075,0,74,0,0,0,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,308,CARseq_with_RIN,0.146,0.120481927710843,0,292,0,0,0,0,0,332,0,0,0,0,0.0465,0.3425,0.0455,0.0275,0.0415,0.043,0.0458807350918865,0.0456307038379797,0.0386298287285911,0.0340042505313164,0.0403800475059382,0.0478809851231404
50,3_1_1,1,308,CARseq_without_RIN,0.033,0.12,0,66,0,2,0,0,0,68,0,7,0,0,0.0415,0.229,0.056,0.1355,0.0225,0.066,0.044125,0.026375,0.042875,0.169625,0.02125,0.075125
50,3_1_1,1,308,TOAST_TPM_with_RIN,0.019,0.0952380952380952,0,38,0,0,0,0,0,42,0,0,0,0,0.0495,0.2465,0.05,0.044,0.053,0.0405,0.053,0.042625,0.047625,0.043625,0.042875,0.04975
50,3_1_1,1,308,TOAST_TPM_without_RIN,0.044,0.666666666666667,0,88,0,49,0,1,0,91,0,168,1,4,0.087,0.267,0.0645,0.187,0.041,0.07,0.070875,0.03175,0.046875,0.195625,0.03175,0.07375
50,3_1_1,1,308,csSAM,0.103,0.256317689530686,0,206,1,19,0,1,0,224,1,50,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,309,CARseq_with_RIN,0.0705,0.0600000000000001,0,141,0,0,0,0,0,150,0,0,0,0,0.058,0.287,0.0535,0.0405,0.0495,0.0495,0.0575,0.045,0.04375,0.0385,0.0515,0.043625
50,3_1_1,1,309,CARseq_without_RIN,0.0275,0,0,55,0,0,0,0,0,55,0,0,0,0,0.0535,0.249,0.024,0.0245,0.0245,0.0215,0.0481310163770471,0.060632579072384,0.0255031878984873,0.0187523440430054,0.026753344168021,0.0188773596699587
50,3_1_1,1,309,TOAST_TPM_with_RIN,0.054,0.0689655172413793,0,108,0,0,0,1,0,115,0,0,0,1,0.0365,0.303,0.049,0.0445,0.054,0.0405,0.037375,0.046625,0.0435,0.0495,0.048125,0.035
50,3_1_1,1,309,TOAST_TPM_without_RIN,0.031,0.0746268656716418,0,62,0,0,0,0,0,66,0,0,1,0,0.037,0.2785,0.0325,0.029,0.027,0.022,0.034,0.054625,0.030375,0.02975,0.029625,0.019
50,3_1_1,1,309,csSAM,0.0255,0.0727272727272728,0,51,0,0,0,0,0,54,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,3_1_1,1,310,CARseq_with_RIN,0.0955,0.115740740740741,2,191,1,0,1,0,2,209,1,0,4,0,0.0655,0.303,0.0565,0.046,0.045,0.05,0.05375,0.04475,0.053,0.0395,0.051625,0.047875
50,3_1_1,1,310,CARseq_without_RIN,0.022,0.0434782608695652,0,44,1,0,0,0,0,45,1,0,0,0,0.0385,0.207,0.106,0.039,0.043,0.0395,0.03275,0.0225,0.12625,0.030125,0.034625,0.0345
50,3_1_1,1,310,TOAST_TPM_with_RIN,0.0645,0.14,0,129,0,0,0,0,0,150,0,0,0,0,0.059,0.302,0.0575,0.0565,0.055,0.0475,0.051,0.055125,0.049875,0.045375,0.049875,0.045625
50,3_1_1,1,310,TOAST_TPM_without_RIN,0.0255,0.0192307692307693,0,51,0,0,0,0,0,52,0,0,0,0,0.03,0.2455,0.101,0.0405,0.034,0.0475,0.029375,0.02775,0.108,0.03425,0.02925,0.04325
50,3_1_1,1,310,csSAM,0.0485,0.0396039603960396,0,97,0,0,0,0,0,101,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4_1_1,1,301,CARseq_with_RIN,0.092,0.0366492146596858,0,184,0,0,0,0,0,191,0,0,0,0,0.043,0.3025,0.0575,0.0385,0.039,0.053,0.046875,0.038,0.047375,0.039875,0.039375,0.04
50,4_1_1,1,301,CARseq_without_RIN,0.021,0.0454545454545454,0,42,0,0,0,0,0,42,2,0,0,0,0.0285,0.199,0.0675,0.0355,0.0305,0.053,0.025,0.01675,0.08475,0.025,0.025,0.047125
50,4_1_1,1,301,TOAST_TPM_with_RIN,0.039,0.0370370370370371,0,78,0,0,0,0,0,81,0,0,0,0,0.0405,0.2775,0.05,0.036,0.05,0.0595,0.052625,0.04675,0.05125,0.038625,0.046625,0.050875
50,4_1_1,1,301,TOAST_TPM_without_RIN,0.018,0.027027027027027,0,36,1,0,0,0,0,36,1,0,0,0,0.0305,0.2215,0.063,0.0275,0.0375,0.072,0.026125,0.025375,0.0505,0.028125,0.033625,0.0595
50,4_1_1,1,301,csSAM,0.0735,0.0328947368421053,0,147,0,0,0,0,0,151,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4_1_1,1,302,CARseq_with_RIN,0.08,0.024390243902439,0,160,1,0,0,0,0,163,1,0,0,0,0.057,0.3,0.045,0.0455,0.058,0.047,0.0503812976622078,0.0371296412051506,0.050131266408301,0.0441305163145393,0.0492561570196275,0.0468808601075134
50,4_1_1,1,302,CARseq_without_RIN,0.041,0.0238095238095238,0,82,1,0,0,0,0,83,1,0,0,0,0.0905,0.251,0.0285,0.024,0.063,0.036,0.101262657832229,0.0282535316914614,0.0290036254531816,0.0270033754219277,0.0405050631328916,0.0330041255156895
50,4_1_1,1,302,TOAST_TPM_with_RIN,0.0535,0.0854700854700855,1,107,0,0,0,0,1,116,0,0,0,0,0.045,0.33,0.0425,0.051,0.0675,0.0595,0.043125,0.045875,0.046875,0.048,0.0475,0.046875
50,4_1_1,1,302,TOAST_TPM_without_RIN,0.0615,0.0681818181818182,1,123,1,0,0,0,1,130,1,0,0,0,0.1025,0.3605,0.0335,0.033,0.1035,0.0695,0.094,0.03325,0.0315,0.034375,0.06775,0.048625
50,4_1_1,1,302,csSAM,0.1385,0.0610169491525424,0,277,1,0,0,0,0,293,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
