gene_expression,n,DE_pattern,DE_pattern_index,replicate,method,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6,Elapsed_Time_sec,Peak_RAM_Used_MiB
low,50,2_1_1,1,1,CARseq_ICeDT,1,0.00349040139616056,0.976190476190476,0,2,0,0,0,0,0,80,1,2,0,1,0.0191972076788831,0.0837696335078534,0.0261780104712042,0.0418848167539267,0.0226876090750436,0.0279232111692845,0.019501625135428,0.044781509570242,0.0332249909714698,0.0415312387143373,0.0299747201155652,0.0353918382087396,NA,NA
medium,50,2_1_1,1,1,CARseq_ICeDT,1,0.0144927536231884,0.880952380952381,0,10,0,0,0,0,0,80,1,2,0,1,0.0260869565217391,0.195652173913043,0.027536231884058,0.0347826086956522,0.0449275362318841,0.0347826086956522,0.0317340385341896,0.061579146203249,0.0366452587835285,0.0321118247072157,0.0343785417453721,0.0423120513789195,NA,NA
high,50,2_1_1,1,1,CARseq_ICeDT,1,0.0797297297297297,0.297619047619048,0,59,0,1,0,0,0,80,1,2,0,1,0.0324324324324324,0.340540540540541,0.0324324324324324,0.0256756756756757,0.0337837837837838,0.0459459459459459,0.0312259059367772,0.0585967617579029,0.0397070161912105,0.0416345412490362,0.0404780262143408,0.0443330763299923,NA,NA
low,50,2_1_1,1,2,CARseq_ICeDT,1,0.0335097001763668,0.930909090909091,0,19,0,0,0,0,0,275,0,0,0,0,0.0476190476190476,0.153439153439153,0.0282186948853616,0.0405643738977072,0.0282186948853616,0.0511463844797178,0.0498194945848375,0.059927797833935,0.0357400722021661,0.0339350180505415,0.040072202166065,0.0404332129963899,NA,NA
medium,50,2_1_1,1,2,CARseq_ICeDT,1,0.0840840840840841,0.796363636363636,0,56,0,0,0,0,0,275,0,0,0,0,0.0570570570570571,0.282282282282282,0.039039039039039,0.0375375375375375,0.036036036036036,0.036036036036036,0.0587794833395732,0.059153874953201,0.0423062523399476,0.0434294271808311,0.0370647697491576,0.0400599026581805,NA,NA
high,50,2_1_1,1,2,CARseq_ICeDT,1,0.209908735332464,0.414545454545455,0,161,0,0,0,0,0,275,0,0,0,0,0.0417209908735332,0.474576271186441,0.0352020860495437,0.045632333767927,0.0352020860495437,0.0352020860495437,0.058411214953271,0.0689252336448598,0.043613707165109,0.0401090342679128,0.0389408099688473,0.0373831775700935,NA,NA
low,50,2_1_1,1,3,CARseq_ICeDT,1,0.0136752136752137,0.945205479452055,0,8,0,0,0,0,0,146,0,0,0,0,0.0444444444444444,0.128205128205128,0.0358974358974359,0.0324786324786325,0.0307692307692308,0.0478632478632479,0.042483660130719,0.0493827160493827,0.032316630355846,0.037763253449528,0.0334059549745824,0.0334059549745824,NA,NA
medium,50,2_1_1,1,3,CARseq_ICeDT,1,0.0444104134762634,0.801369863013699,0,29,0,0,0,0,0,146,0,0,0,0,0.0459418070444104,0.240428790199081,0.0413476263399694,0.0459418070444104,0.0597243491577335,0.0382848392036753,0.051043219076006,0.0614754098360656,0.0428464977645306,0.0439642324888227,0.0469448584202683,0.0465722801788376,NA,NA
high,50,2_1_1,1,3,CARseq_ICeDT,1,0.124508519003932,0.349315068493151,0,95,0,0,0,0,0,146,0,0,0,0,0.053735255570118,0.424639580602883,0.0380078636959371,0.0340760157273919,0.036697247706422,0.0340760157273919,0.0598755832037325,0.072706065318818,0.0346034214618974,0.0353810264385692,0.0458786936236392,0.0412130637636081,NA,NA
low,50,2_1_1,1,4,CARseq_ICeDT,1,0.00168067226890756,0.96875,0,1,0,0,0,0,0,29,3,0,0,0,0.0352941176470588,0.0823529411764706,0.0504201680672269,0.0403361344537815,0.0319327731092437,0.0168067226890756,0.0335889010587806,0.0357794815626141,0.0394304490690033,0.0303030303030303,0.0416210295728368,0.0219058050383352,NA,NA
medium,50,2_1_1,1,4,CARseq_ICeDT,1,0.00489396411092985,0.90625,0,3,0,0,0,0,0,29,3,0,0,0,0.0277324632952692,0.164763458401305,0.0489396411092985,0.032626427406199,0.0440456769983687,0.0212071778140294,0.0392228739002933,0.0564516129032258,0.0509530791788856,0.0392228739002933,0.0447214076246334,0.0252932551319648,NA,NA
high,50,2_1_1,1,4,CARseq_ICeDT,1,0.0277777777777778,0.3125,0,22,0,0,0,0,0,29,3,0,0,0,0.0404040404040404,0.319444444444444,0.0580808080808081,0.0328282828282828,0.0252525252525253,0.0265151515151515,0.0472069236821401,0.0574350904799371,0.0558615263571991,0.035405192761605,0.040125885129819,0.027537372147915,NA,NA
low,50,2_1_1,1,5,CARseq_ICeDT,1,0.0121107266435986,0.965686274509804,0,7,0,0,0,0,1,203,0,0,0,0,0.0328719723183391,0.150519031141869,0.0173010380622837,0.0311418685121107,0.0346020761245675,0.0363321799307958,0.0272133526850508,0.0518867924528302,0.0261248185776488,0.0406386066763425,0.0359216255442671,0.0384615384615385,NA,NA
medium,50,2_1_1,1,5,CARseq_ICeDT,1,0.0552995391705069,0.823529411764706,0,36,0,0,0,0,1,203,0,0,0,0,0.0384024577572965,0.259600614439324,0.0261136712749616,0.0368663594470046,0.0307219662058372,0.0460829493087558,0.0446096654275093,0.0594795539033457,0.0263940520446097,0.0408921933085502,0.0446096654275093,0.041635687732342,NA,NA
high,50,2_1_1,1,5,CARseq_ICeDT,1,0.178756476683938,0.323529411764706,1,138,0,0,0,0,1,203,0,0,0,0,0.0259067357512953,0.458549222797927,0.0349740932642487,0.0362694300518135,0.0414507772020725,0.0323834196891192,0.046448087431694,0.06128024980484,0.0452771272443404,0.0444964871194379,0.0425448868071819,0.0378610460577674,NA,NA
low,50,2_1_1,1,6,CARseq_ICeDT,1,0.00170068027210884,0.986111111111111,0,1,0,0,0,0,0,72,0,0,0,0,0.0357142857142857,0.115646258503401,0.032312925170068,0.0391156462585034,0.0255102040816327,0.0357142857142857,0.0338058887677208,0.0436205016357688,0.0356234096692112,0.0283533260632497,0.0287168302435478,0.0385314431115958,NA,NA
medium,50,2_1_1,1,6,CARseq_ICeDT,1,0.0135135135135135,0.875,0,9,0,0,0,0,0,72,0,0,0,0,0.036036036036036,0.232732732732733,0.0375375375375375,0.0225225225225225,0.0285285285285285,0.042042042042042,0.0358878504672897,0.0538317757009346,0.045981308411215,0.0321495327102804,0.0328971962616822,0.0366355140186916,NA,NA
high,50,2_1_1,1,6,CARseq_ICeDT,1,0.0720961281708945,0.25,0,54,0,0,0,0,0,72,0,0,0,0,0.0427236315086782,0.355140186915888,0.0293724966622163,0.0240320427236315,0.0400534045393858,0.0333778371161549,0.0491105955143078,0.0626450116009281,0.0498839907192575,0.0359628770301624,0.0340293890177881,0.0417633410672854,NA,NA
low,50,2_1_1,1,7,CARseq_ICeDT,1,0.0163398692810458,0.914529914529915,0,10,0,0,0,0,1,116,0,0,0,0,0.0326797385620915,0.138888888888889,0.0375816993464052,0.0212418300653595,0.0441176470588235,0.0326797385620915,0.0355702236890356,0.0465713237990466,0.048038137147048,0.0293362669600293,0.0326365969930326,0.0374037403740374,NA,NA
medium,50,2_1_1,1,7,CARseq_ICeDT,1,0.0279503105590062,0.846153846153846,1,18,0,0,0,0,1,116,0,0,0,0,0.0419254658385093,0.236024844720497,0.062111801242236,0.0326086956521739,0.0279503105590062,0.0357142857142857,0.0426874536005939,0.0612472160356347,0.0664439495174462,0.0289532293986637,0.0341499628804751,0.0423162583518931,NA,NA
high,50,2_1_1,1,7,CARseq_ICeDT,1,0.101876675603217,0.35042735042735,0,76,0,0,0,0,1,116,0,0,0,0,0.0442359249329759,0.38739946380697,0.0616621983914209,0.0254691689008043,0.0308310991957105,0.0415549597855228,0.0459104938271605,0.0652006172839506,0.0513117283950617,0.0281635802469136,0.0482253086419753,0.0381944444444444,NA,NA
low,50,2_1_1,1,8,CARseq_ICeDT,1,0.00676818950930626,0.941176470588235,0,4,0,0,0,0,1,67,0,0,0,0,0.027072758037225,0.0676818950930626,0.0423011844331641,0.027072758037225,0.0372250423011844,0.0355329949238579,0.024745269286754,0.0298398835516739,0.039665211062591,0.024745269286754,0.0251091703056769,0.0360262008733624,NA,NA
medium,50,2_1_1,1,8,CARseq_ICeDT,1,0.0134328358208955,0.867647058823529,0,9,0,0,0,0,1,67,0,0,0,0,0.0313432835820895,0.158208955223881,0.0328358208955224,0.0238805970149254,0.0208955223880597,0.0343283582089552,0.0389805097451274,0.0434782608695652,0.0476011994002999,0.0262368815592204,0.0344827586206897,0.0401049475262369,NA,NA
high,50,2_1_1,1,8,CARseq_ICeDT,1,0.0673854447439353,0.264705882352941,0,50,0,0,0,0,1,67,0,0,0,0,0.0390835579514825,0.303234501347709,0.0566037735849057,0.0363881401617251,0.0377358490566038,0.0444743935309973,0.0404468412942989,0.0446841294298921,0.0439137134052388,0.0292758089368259,0.0365947611710324,0.0473805855161787,NA,NA
low,50,2_1_1,1,9,CARseq_ICeDT,1,0.0101010101010101,0.955555555555556,0,6,0,0,0,0,0,132,3,0,0,0,0.0404040404040404,0.141414141414141,0.0353535353535354,0.0286195286195286,0.0387205387205387,0.0454545454545455,0.037199124726477,0.0397520058351568,0.0328227571115974,0.0273522975929978,0.0426695842450766,0.0342815463165573,NA,NA
medium,50,2_1_1,1,9,CARseq_ICeDT,1,0.0279411764705882,0.859259259259259,0,19,0,0,0,0,0,132,3,0,0,0,0.0382352941176471,0.252941176470588,0.0308823529411765,0.0367647058823529,0.0235294117647059,0.0529411764705882,0.0568096313017306,0.0662151993980436,0.0470278404815651,0.0331075996990218,0.0477802859292701,0.0425131677953348,NA,NA
high,50,2_1_1,1,9,CARseq_ICeDT,1,0.118294360385144,0.362962962962963,0,86,0,0,0,0,0,132,3,0,0,0,0.0522696011004127,0.429160935350757,0.0440165061898212,0.0302613480055021,0.046767537826685,0.0385144429160935,0.0590717299578059,0.0675105485232067,0.046029919447641,0.0349060222477944,0.0540851553509781,0.0448791714614499,NA,NA
low,50,2_1_1,1,10,CARseq_ICeDT,1,0.00168350168350168,0.980392156862745,0,1,0,0,0,0,0,51,0,0,0,0,0.0303030303030303,0.0976430976430976,0.0404040404040404,0.0202020202020202,0.031986531986532,0.0471380471380471,0.0306345733041575,0.0423048869438366,0.0393873085339169,0.037563822027717,0.0342815463165573,0.0342815463165573,NA,NA
medium,50,2_1_1,1,10,CARseq_ICeDT,1,0.0111287758346582,0.862745098039216,0,7,0,0,0,0,0,51,0,0,0,0,0.0397456279809221,0.186009538950715,0.0635930047694754,0.041335453100159,0.0254372019077901,0.0429252782193959,0.0423260949576739,0.055207949944792,0.0449024659550975,0.034596981965403,0.0404858299595142,0.0404858299595142,NA,NA
high,50,2_1_1,1,10,CARseq_ICeDT,1,0.0524967989756722,0.196078431372549,0,41,0,0,0,0,0,51,0,0,0,0,0.0435339308578745,0.329065300896287,0.0409731113956466,0.0358514724711908,0.0396927016645326,0.0460947503201024,0.0524667188723571,0.0649960845732185,0.0438527799530149,0.0426781519185591,0.0352388410336727,0.0395458104933438,NA,NA
low,50,2_1_1,1,1,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,13,0,1,0,0,0.0418848167539267,0.0401396160558464,0.0383944153577661,0.0418848167539267,0.0209424083769634,0.043630017452007,0.0310581437342001,0.0339472733838931,0.0390032502708559,0.0375586854460094,0.0263633080534489,0.0382809678584327,NA,NA
medium,50,2_1_1,1,1,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,13,0,1,0,0,0.0507246376811594,0.0927536231884058,0.0608695652173913,0.0550724637681159,0.0536231884057971,0.0434782608695652,0.0494899886664148,0.0528900642236494,0.0476010578012845,0.0423120513789195,0.0483566301473366,0.0487344163203627,NA,NA
high,50,2_1_1,1,1,TOAST_TPM_ICeDT,1,0.0162162162162162,0.142857142857143,0,12,0,0,0,0,0,13,0,1,0,0,0.05,0.206756756756757,0.0608108108108108,0.0608108108108108,0.0445945945945946,0.0540540540540541,0.0470316114109483,0.0505011565150347,0.043562066306862,0.0470316114109483,0.0520431765612953,0.0531996915959908,NA,NA
low,50,2_1_1,1,2,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,1,30,0,0,0,1,0.0405643738977072,0.0476190476190476,0.054673721340388,0.0582010582010582,0.0440917107583774,0.0423280423280423,0.0299638989169675,0.0249097472924188,0.0364620938628159,0.0451263537906137,0.0465703971119134,0.0407942238267148,NA,NA
medium,50,2_1_1,1,2,TOAST_TPM_ICeDT,1,0.0015015015015015,0.96875,0,1,0,0,0,0,1,30,0,0,0,1,0.0315315315315315,0.124624624624625,0.0405405405405405,0.0840840840840841,0.042042042042042,0.0465465465465465,0.0479221265443654,0.0363159865219019,0.0512916510670161,0.0539123923624111,0.0531636091351554,0.0527892175215275,NA,NA
high,50,2_1_1,1,2,TOAST_TPM_ICeDT,1,0.0352020860495437,0.15625,0,27,0,0,0,0,1,30,0,0,0,1,0.0378096479791395,0.267275097783572,0.0482398956975228,0.0860495436766623,0.0482398956975228,0.0404172099087353,0.0467289719626168,0.0420560747663551,0.0541277258566978,0.0463395638629283,0.0521806853582555,0.0599688473520249,NA,NA
low,50,2_1_1,1,3,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0.0256410256410256,0.0478632478632479,0.041025641025641,0.0752136752136752,0.041025641025641,0.0615384615384615,0.0250453720508167,0.0261343012704174,0.035934664246824,0.0573502722323049,0.0330308529945554,0.0464609800362976,NA,NA
medium,50,2_1_1,1,3,TOAST_TPM_ICeDT,1,0.00306278713629403,0.91304347826087,0,2,0,0,0,0,0,23,0,0,0,0,0.0336906584992343,0.113323124042879,0.0413476263399694,0.0689127105666156,0.0719754977029096,0.0566615620214395,0.0339046199701937,0.0439642324888227,0.0491803278688525,0.0618479880774963,0.0525335320417288,0.0570044709388972,NA,NA
high,50,2_1_1,1,3,TOAST_TPM_ICeDT,1,0.0275229357798165,0.0869565217391305,0,21,0,0,0,0,0,23,0,0,0,0,0.0576671035386632,0.260812581913499,0.0629095674967235,0.0524246395806029,0.0471821756225426,0.053735255570118,0.0536547433903577,0.0497667185069984,0.0594867807153966,0.0536547433903577,0.0493779160186625,0.0454898911353033,NA,NA
low,50,2_1_1,1,4,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0.0352941176470588,0.0504201680672269,0.0571428571428571,0.0823529411764706,0.038655462184874,0.0352941176470588,0.0332116788321168,0.0339416058394161,0.0386861313868613,0.0481751824817518,0.0405109489051095,0.0430656934306569,NA,NA
medium,50,2_1_1,1,4,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0.0424143556280587,0.0685154975530179,0.0570962479608483,0.0929853181076672,0.0407830342577488,0.0570962479608483,0.0538856304985337,0.0531524926686217,0.0531524926686217,0.0663489736070381,0.0439882697947214,0.0560850439882698,NA,NA
high,50,2_1_1,1,4,TOAST_TPM_ICeDT,1,0.0202020202020202,0.0588235294117647,0,16,0,0,0,0,0,17,0,0,0,0,0.053030303030303,0.227272727272727,0.0732323232323232,0.0808080808080808,0.0568181818181818,0.0542929292929293,0.0483870967741935,0.0531077891424076,0.0542879622344611,0.0452399685287175,0.0503540519276161,0.0605822187254131,NA,NA
low,50,2_1_1,1,5,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,1,0,18,0,0,0,1,0.0570934256055363,0.0467128027681661,0.027681660899654,0.055363321799308,0.0380622837370242,0.0882352941176471,0.0395213923132705,0.0195794053662074,0.028281363306744,0.0413343002175489,0.0369833212472806,0.0645395213923133,NA,NA
medium,50,2_1_1,1,5,TOAST_TPM_ICeDT,1,0.00153609831029186,0.947368421052632,0,1,0,0,0,0,0,18,0,0,0,1,0.0568356374807988,0.0814132104454685,0.032258064516129,0.0752688172043011,0.0614439324116743,0.0890937019969278,0.0527881040892193,0.0319702602230483,0.0382899628252788,0.054275092936803,0.0509293680297398,0.0739776951672863,NA,NA
high,50,2_1_1,1,5,TOAST_TPM_ICeDT,1,0.022020725388601,0.105263157894737,0,17,0,0,0,0,0,18,0,0,0,1,0.0660621761658031,0.248704663212435,0.0595854922279793,0.0595854922279793,0.0673575129533679,0.0880829015544041,0.0476190476190476,0.0472287275565964,0.053864168618267,0.0515222482435597,0.0507416081186573,0.0554254488680718,NA,NA
low,50,2_1_1,1,6,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,2,17,1,0,0,0,0.0578231292517007,0.0663265306122449,0.0612244897959184,0.0901360544217687,0.0629251700680272,0.0442176870748299,0.0563431479462014,0.0261723009814613,0.0501635768811341,0.0530716103235187,0.059614685568884,0.0348964013086151,NA,NA
medium,50,2_1_1,1,6,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,2,17,1,0,0,0,0.0660660660660661,0.102102102102102,0.0615615615615616,0.0690690690690691,0.0690690690690691,0.0705705705705706,0.0564485981308411,0.0411214953271028,0.0545794392523365,0.0699065420560748,0.0736448598130841,0.0471028037383178,NA,NA
high,50,2_1_1,1,6,TOAST_TPM_ICeDT,1,0.0186915887850467,0.3,0,14,0,0,0,0,2,17,1,0,0,0,0.0560747663551402,0.2456608811749,0.0493991989319092,0.0801068090787717,0.061415220293725,0.0854472630173565,0.0444702242846094,0.0498839907192575,0.0525908739365816,0.0634184068058778,0.0402165506573859,0.0475638051044084,NA,NA
low,50,2_1_1,1,7,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0.0310457516339869,0.0620915032679739,0.0784313725490196,0.0522875816993464,0.0571895424836601,0.042483660130719,0.0329912023460411,0.0388563049853372,0.0535190615835777,0.0447214076246334,0.0377565982404692,0.0410557184750733,NA,NA
medium,50,2_1_1,1,7,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0.0605590062111801,0.131987577639752,0.107142857142857,0.0714285714285714,0.0527950310559006,0.0341614906832298,0.0400890868596882,0.0497401633259094,0.0697847067557535,0.0549368968077209,0.0519673348181143,0.0460282108389013,NA,NA
high,50,2_1_1,1,7,TOAST_TPM_ICeDT,1,0.0107238605898123,0,0,8,0,0,0,0,0,8,0,0,0,0,0.0630026809651475,0.280160857908847,0.0831099195710456,0.046916890080429,0.0375335120643432,0.046916890080429,0.0497685185185185,0.0543981481481481,0.0455246913580247,0.0505401234567901,0.0524691358024691,0.0428240740740741,NA,NA
low,50,2_1_1,1,8,TOAST_TPM_ICeDT,1,0.00169204737732657,0.8,0,1,0,0,0,0,0,5,0,0,0,0,0.0321489001692047,0.0795262267343486,0.0524534686971235,0.027072758037225,0.0355329949238579,0.050761421319797,0.0407569141193595,0.0483988355167394,0.0356622998544396,0.0334788937409025,0.0338427947598253,0.0429403202328967,NA,NA
medium,50,2_1_1,1,8,TOAST_TPM_ICeDT,1,0.00149253731343284,0.8,0,1,0,0,0,0,0,5,0,0,0,0,0.0358208955223881,0.104477611940299,0.0582089552238806,0.0462686567164179,0.0313432835820895,0.0447761194029851,0.0584707646176912,0.0588455772113943,0.0535982008995502,0.0382308845577211,0.047976011994003,0.0457271364317841,NA,NA
high,50,2_1_1,1,8,TOAST_TPM_ICeDT,1,0.00269541778975741,0.6,0,2,0,0,0,0,0,5,0,0,0,0,0.0660377358490566,0.211590296495957,0.0741239892183288,0.0673854447439353,0.0525606469002695,0.0377358490566038,0.0481510015408321,0.051617873651772,0.0489214175654854,0.0543143297380586,0.039291217257319,0.0535439137134052,NA,NA
low,50,2_1_1,1,9,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0.0505050505050505,0.0808080808080808,0.0269360269360269,0.0521885521885522,0.0521885521885522,0.0740740740740741,0.0401167031363968,0.0441283734500365,0.0408460977388767,0.0423048869438366,0.0350109409190372,0.0649161196207148,NA,NA
medium,50,2_1_1,1,9,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0.0455882352941176,0.158823529411765,0.0529411764705882,0.05,0.0397058823529412,0.0588235294117647,0.0545522949586155,0.0601956358164033,0.0432656132430399,0.0590669676448458,0.0526711813393529,0.0624529721595184,NA,NA
high,50,2_1_1,1,9,TOAST_TPM_ICeDT,1,0.00825309491059147,0.25,0,6,0,0,0,0,0,7,0,0,0,1,0.063273727647868,0.266850068775791,0.0385144429160935,0.0646492434662999,0.0605226960110041,0.0605226960110041,0.0598388952819333,0.0583045646336786,0.0490985807441504,0.049482163406214,0.0575373993095512,0.0533179900268508,NA,NA
low,50,2_1_1,1,10,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0286195286195286,0.063973063973064,0.0454545454545455,0.0858585858585859,0.0521885521885522,0.0521885521885522,0.028436018957346,0.044841414509661,0.044112285818447,0.0568720379146919,0.041560335399198,0.039008384979949,NA,NA
medium,50,2_1_1,1,10,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0333863275039746,0.100158982511924,0.068362480127186,0.106518282988871,0.0492845786963434,0.0461049284578696,0.0401177769598822,0.0526315789473684,0.0537357379462643,0.0633051159366949,0.055576002944424,0.0390136179609864,NA,NA
high,50,2_1_1,1,10,TOAST_TPM_ICeDT,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0460947503201024,0.163892445582586,0.058898847631242,0.102432778489117,0.0653008962868118,0.0563380281690141,0.0532498042286609,0.0563821456538763,0.0454189506656225,0.0548159749412686,0.0501174628034456,0.0450274079874706,NA,NA
